,,,,,,,,,,,,
,,,,,,,,,,,,
Video ID,Published Date,Channel ID,Video Title,Description,Thumbnail URL,Channel Title,View Count,Like Count,View/Like Ratio,Normalized Ratio,,
aEqlQvczMJQ,2020-06-05T15:00:00Z,UCEMArgthHuEtX-04qL_8puQ,10-Minute Meditation For Sleep,"If you are feeling restless, listen to this guided meditation to ease your mind and body into falling asleep. Written and Narrated by ...",https://i.ytimg.com/vi/aEqlQvczMJQ/default.jpg,Goodful,6003301,62955,0.01048673055,2.744008962,,
2f5mRTjkHJ4,2021-09-06T01:15:00Z,UCqPYhcdFgrlUXiGmPRAej1w,"Guided Sleep Meditation, Fall Asleep In Minutes Spoken Sleep Meditation With Water Sound for Sleep",Guided sleep meditation to help you fall asleep in minutes. This is a spoken sleep meditation and finishes with water sounds for ...,https://i.ytimg.com/vi/2f5mRTjkHJ4/default.jpg,Jason Stephenson - Sleep Meditation Music,2591548,20038,0.007732058214,1.47697545,,
Jyy0ra2WcQQ,2011-03-09T16:27:27Z,UC4jWo5kiyOCt4PnvF4jbaLg,Guided Meditation - Blissful Deep Relaxation,This guided meditation will gently ease you into a state of blissfully deep relaxation. ........................................................................ If you ...,https://i.ytimg.com/vi/Jyy0ra2WcQQ/default.jpg,The Honest Guys - Meditations - Relaxation,21319761,101413,0.004756760641,0.1084635995,,
fVTKlz20ZJY,2022-07-18T13:11:43Z,UCwobzUc3z-0PrFpoRxNszXQ,"🔴 Relaxing Music 24/7, Stress Relief Music, Sleep Music, Meditation Music, Study, Calming Music","Get the new Yellow Brick Cinema iOS app for a 7-day FREE trial: https://apple.co/30uHqHe Relaxing Music 24/7, Stress Relief ...",https://i.ytimg.com/vi/fVTKlz20ZJY/default_live.jpg,Yellow Brick Cinema - Relaxing Music,235535,2065,0.008767274503,1.953131439,,
oq6j9uWrcfg,2016-09-21T13:00:04Z,UC-ga3onzHSJFAGsIebtVeBg,How to Meditate 🙏🏼,"Meditation is a practice that can benefit your health and wellness in so many ways. I've been trying to meditate more lately, so I ...",https://i.ytimg.com/vi/oq6j9uWrcfg/default.jpg,Lavendaire,1706263,96106,0.05632543166,23.82788515,,
itZMM5gCboo,2020-04-30T15:00:34Z,UCEMArgthHuEtX-04qL_8puQ,15-Minute Meditation For Self Love,Close your eyes and release all the negative thoughts that you have been holding on to. It's time from some self-love. Written and ...,https://i.ytimg.com/vi/itZMM5gCboo/default.jpg,Goodful,2738810,66620,0.02432443287,9.108770517,,
wjQq0nSGS28,2021-08-04T06:16:09Z,UCMiW-YAIlZwVXp3Ip_akE_Q,Abstract Liquid! 12 Hours 4K Satisfaying Video! Relaxing Music / Screensaver for Meditation. Fluids,Lava Lamps Relaxing Video! - https://youtu.be/aXYd6Jaaews Amazing Abstract Liquid!,https://i.ytimg.com/vi/wjQq0nSGS28/default.jpg,Relaxation Time - 4K Amazing Relaxing Screensavers,1476518,7635,0.005170949491,0.2989730645,,
MIr3RsUWrdo,2016-10-03T09:00:01Z,UCu_mPlZbomAgNzfAUElRL7w,20 Minute Guided Meditation for Reducing Anxiety and Stress--Clear the Clutter to Calm Down,This is a guided meditation to take you on a journey of relaxation. You will clear the clutter of your mind to calm you. It will reduce ...,https://i.ytimg.com/vi/MIr3RsUWrdo/default.jpg,The Mindful Movement,8448149,112485,0.01331475096,4.044779506,,
jeGT1VXwfx4,2018-05-21T09:30:01Z,UCN4vyryy6O4GlIXcXTIuZQQ,10 Minute Chakra Balance Guided Meditation for Positive Energy,A 10 Minute Chakra Balancing Guided Meditation leaving you feeling full of positive Energy. Enjoy!,https://i.ytimg.com/vi/jeGT1VXwfx4/default.jpg,Great Meditation,9905253,154514,0.01559919772,5.095529014,,
QYjtxQLCHpE,2022-03-29T22:44:56Z,UCISuDLZ_9hxuNvvtnfhIUWg,Best Nature Relaxing Meditation Music and Videos - Walk in the woods with nature music,Best Nature Relaxing Meditation Music and Videos - Walk in the woods with nature music ✓Hello everyone on our channel: Chill ...,https://i.ytimg.com/vi/QYjtxQLCHpE/default.jpg,CHILL OUT ♪,766,170,0.2219321149,100,,
Hzi3PDz1AWU,2021-10-30T11:38:29Z,UCcYzLCs3zrQIBVHYA1sK2sw,&#39;How to Meditate&#39; for Beginners | Sadhguru,Sadhguru goes in depth about what meditation really is and clarifies common misunderstandings that meditation is a practice.,https://i.ytimg.com/vi/Hzi3PDz1AWU/default.jpg,Sadhguru,2978888,99975,0.03356118122,13.35728659,,
IfQt_ssuG10,2022-07-21T09:00:10Z,UCN4vyryy6O4GlIXcXTIuZQQ,5 Minute Moring Meditation ~ I Have All I Need,This 5 minute morning guided meditation helps you anchor in to positive feelings first thing in the morning. Feel your heart letting ...,https://i.ytimg.com/vi/IfQt_ssuG10/default.jpg,Great Meditation,6903,650,0.09416195857,41.23109749,,
o3W75hC8M70,2020-05-03T00:52:36Z,UCcNrmSXswsMJzuaSQknziTw,How to Make Money on YouTube With Simple Relaxation Videos,In this video I go over how to make money on YouTube with simple relaxation videos as well as revealing how you can get other ...,https://i.ytimg.com/vi/o3W75hC8M70/default.jpg,Make Money Matt,592900,26784,0.04517456569,18.69895541,,
69o0P7s8GHE,2018-11-17T01:00:00Z,UCqPYhcdFgrlUXiGmPRAej1w,Sleep Talk Down Guided Meditation: Fall Asleep Faster with Sleep Music &amp; Spoken Word Hypnosis,Calm your mind and improve your sleep with your FREE sleep guided meditation.,https://i.ytimg.com/vi/69o0P7s8GHE/default.jpg,Jason Stephenson - Sleep Meditation Music,20054646,121672,0.006067023073,0.7111292559,,
cHlioeh1WKA,2022-03-20T17:44:37Z,UCPotnGNahFjLWjfsq4KYvuQ,Nature Morning 4K | Meditation Relaxing Music | Peaceful Relaxing Music | 4K Relaxation Film,"Nature morning with Beautiful Relaxing Music with Nature Landscape is ideal for Relax, Sleep, Study, Meditation, Zen, and Yoga.",https://i.ytimg.com/vi/cHlioeh1WKA/default.jpg,Relaxation Film,351060,4454,0.01268728992,3.756173797,,
thcEuMDWxoI,2019-08-15T15:30:05Z,UCv-oUk8x6SGHMOLrCMDNrsw,Meditation Is Easier Than You Think,"In this video, Mingyur Rinpoche explains the essence of meditation and describes some common misunderstandings about ...",https://i.ytimg.com/vi/thcEuMDWxoI/default.jpg,Yongey Mingyur Rinpoche,4243937,170720,0.04022679884,16.42319058,,
TP2gb2fSYXY,2019-08-13T16:00:07Z,UC4jWo5kiyOCt4PnvF4jbaLg,Guided Sleep Meditation: The Haven of Peace. Ultra Deep Relaxation. Dark Screen,Become a member for ad-free videos: https://www.youtube.com/channel/UC4jWo5kiyOCt4PnvF4jbaLg/join Can't sleep? Slip on ...,https://i.ytimg.com/vi/TP2gb2fSYXY/default.jpg,The Honest Guys - Meditations - Relaxation,11227085,67111,0.005977597925,0.6699974459,,
Bk_qU7l-fcU,2017-12-17T19:20:28Z,UCjW-3doUmNsyY5aLQHLiNXg,Mindfulness Meditation for Kids | BREATHING EXERCISE | Guided Meditation for Children,Download our App for free: Apple iOS: https://apps.apple.com/us/app/new-horizon-kids-meditation/id1457179117#? Google Play ...,https://i.ytimg.com/vi/Bk_qU7l-fcU/default.jpg,New Horizon - Meditation & Sleep Stories,2517392,11381,0.004520948664,0,,
liwRtvwlC1Y,2018-11-28T10:39:08Z,UCphe4MtLsanO0wgTnL3432g,"Spiral Extreme1 video, hypnosis meditation trance.","Spiral extreme1, hypnosis meditation trance video. Watch at full screen. Look at the center of the video. Enhance volume of your ...",https://i.ytimg.com/vi/liwRtvwlC1Y/default.jpg,bid77media,1846603,14893,0.0080650795,1.630151246,,
TlYHJpkAvBk,2021-02-08T16:57:08Z,UCqw-uO2N5UrTN5-0oZCQ_EA,1 Hour Satisfying Video Under Relaxing Deep Sleep Music | Stress Relief Meditation,onehoursatisfyingvideo #longsatisfyingvideo #oddlysatisfying Check out Satisfying Videos Playlist: https://bit.ly/3jupSCp.,https://i.ytimg.com/vi/TlYHJpkAvBk/default.jpg,Satisfying Official,3525918,16504,0.004680766824,0.07350963746,,
2V6-8QsMsF0,2021-02-08T14:30:00Z,UCzK4g-JcQLXsn_o0ZSXyuQQ,Avoid These 3 Mistakes on Meditation YouTube Channel (IMPORTANT),Let Us Build Your YouTubeAutomation Team: https://bit.ly/done-for-you-teams Learn How to Build your YouTube Automation ...,https://i.ytimg.com/vi/2V6-8QsMsF0/default.jpg,Automation First,186400,6275,0.03366416309,13.40465392,,
QScTGcafaOo,2020-01-01T00:38:09Z,UCmEb7rZRwejgRZ98HwAimLA,"Jellyfish 4K Video for Spa w/ Meditation Music for Relaxing, Sleeping, Stress Relief &amp; Massage","A peaceful ambiance for stress relief, spiritual journey, to concentrate, to study, sleep, insomnia and relaxing. Glowing jellyfish ...",https://i.ytimg.com/vi/QScTGcafaOo/default.jpg,Relax Night and Day - Beautiful Nature & Sounds,899816,8189,0.009100749487,2.106515917,,
f5-XlWrefq4,2020-09-14T13:42:35Z,UCV699r37OLNcmG0wHVYSp0g,How To Edit Relaxing Music Video Meditation In Premiere Pro🔥|Urdu|Hindi|Part-65,How To Edit Relaxing Music Video Meditation In Premiere Pro cc |Urdu|Hindi| Relaxing Music(Ambient Music With Rain ...,https://i.ytimg.com/vi/f5-XlWrefq4/default.jpg,Phull Info tech,16034,521,0.03249345142,12.86617575,,
Y-OqT5Po8KQ,2017-08-21T16:00:04Z,UCyNzXIRlwwG1HFOTIOSdzHA,"GoldLink - Meditation (Official Video) ft. Jazmine Sullivan, KAYTRANADA","GoldLink's ""Meditation"" featuring Jazmine Sullivan & KAYTRANADA. Available now on: Apple Music: http://smarturl.it/iMeditation ...",https://i.ytimg.com/vi/Y-OqT5Po8KQ/default.jpg,GoldLinkVEVO,3426244,56098,0.01637303123,5.451459908,,
JEoxUG898qY,2020-06-23T09:59:04Z,UCp53H8JdZP8Qzm9zJe10rRA,15 Minutes OM Meditation,OM Mantra meditation 15 minutes. Om mantra Chanting for yoga & Meditation. iTunes: ...,https://i.ytimg.com/vi/JEoxUG898qY/default.jpg,DailyDivine,28308852,284987,0.01006706312,2.550979581,,
KQOAVZew5l8,2017-08-13T18:09:33Z,UCq2E1mIwUKMWzCA4liA_XGQ,BEGINNER&#39;S GUIDE TO MEDITATION » for a positive &amp; productive day (part 1),Watch part 2: https://youtu.be/0eKD-mDa3CA ‍♀️ Watch part 3: https://youtu.be/zFotlhvCzWc Where I learned Vipassana ...,https://i.ytimg.com/vi/KQOAVZew5l8/default.jpg,Pick Up Limes,2653822,63690,0.02399934886,8.959245534,,
ayfe4XWCZdg,2018-06-29T03:00:01Z,UC4rlAVgAK0SGk-yTfe48Qpw,How to Meditate: 6 Easy Tips for Beginners,"How to Meditate. Meditation not only reduces stress and improves your physical well-being, it's also good exercise for the brain.",https://i.ytimg.com/vi/ayfe4XWCZdg/default.jpg,BRIGHT SIDE,1523175,37593,0.02468068344,9.272630807,,
Ho91a_GwYxs,2015-12-27T11:31:19Z,UCM7XCXnxtYJkkMN0zf0tsSw,"Meditation Music for Positive Energy - Relax Mind Body, Clearing Subconscious Negativity &amp; Blockages","Meditation Music for Positive Energy - Relax Mind Body, Clearing Subconscious Negativity & Blockages Namaste, Meditation ...",https://i.ytimg.com/vi/Ho91a_GwYxs/default.jpg,Meditation and Healing,2246583,18592,0.008275679109,1.727018216,,
eIvacnfAEwQ,2021-01-11T14:30:03Z,UCzK4g-JcQLXsn_o0ZSXyuQQ,Can you MONETIZE Meditation Videos on YouTube? | Meditation Channel Monetization EXPLAINED,Let Us Build Your YouTubeAutomation Team: https://bit.ly/done-for-you-teams Learn How to Build your YouTube Automation ...,https://i.ytimg.com/vi/eIvacnfAEwQ/default.jpg,Automation First,71461,2766,0.03870642728,15.72388356,,
xzLIR_Xg7Gg,2021-04-25T12:48:26Z,UCgwrLBM36uVb7eNc3QAvGyw,How To Monetize Meditation and Relaxing Music Video Channels,How to monetize meditation and relaxing music video channels. You can make money with meditation and relaxing music video ...,https://i.ytimg.com/vi/xzLIR_Xg7Gg/default.jpg,We Tech Tube,63023,2276,0.03611379972,14.53138383,,
VHB3_W8cTto,2021-12-04T12:30:14Z,UCCZIevhN62jJ2gb-u__M95g,1 Hour Satisfying Video Under Relaxing Deep Sleep Music | Stress Relief Meditation,FOLLOW ODDLY SATISFYING ON: TikTok: http://www.tiktok.com/@oddlysatisfying Instagram: ...,https://i.ytimg.com/vi/VHB3_W8cTto/default.jpg,Oddly Satisfying,19364308,125643,0.006488380581,0.9049360027,,
NVPrxcR_RZI,2019-12-30T12:34:43Z,UC6ashd-m9GHYP6wozPCoC8A,10 Minute Manifestation Meditation (Powerful Visualisation),A powerful 10 minute manifestation meditation taking you on a visualisation journey to manifest your goal. Before you start this ...,https://i.ytimg.com/vi/NVPrxcR_RZI/default.jpg,Jessica Heslop - Manifest by Jess,5913802,134509,0.02274492788,8.382264598,,
r3neFV38TJQ,2019-12-09T03:15:00Z,UCZ_1x3ojrmgIuX52A8psuvA,Meditation&#39;s Impact on the Brain | Documentary Clip,"This is a clip from the feature documentary ""A Joyful Mind"". You can find the full documentary and more information at ...",https://i.ytimg.com/vi/r3neFV38TJQ/default.jpg,A Joyful Mind,4986471,118830,0.02383048051,8.88157319,,
